wikidata_id,speaker,sr_names,episode_count,episode_ids,ages_at_episodes,wikidata_label,wikidata_description,wikipedia_url,gender,gender_id,birth_date,death_date,citizenships,citizenship_ids,occupations,occupation_ids
Q117026670,Linnéa Lindquist,"[""Linnéa Lindquist""]",1,[2397850],[42],,,https://sv.wikipedia.org/wiki/Linn%C3%A9a_Lindquist,kvinna,Q6581072,1982-02-02,,"[""Sverige""]","[""Q34""]",[],[]
Q117258623,Matilda Djerf,"[""Matilda Djerf""]",1,[2397783],[27],,,https://sv.wikipedia.org/wiki/Matilda_Djerf,kvinna,Q6581072,1997-04-08,,"[""Sverige""]","[""Q34""]","[""entreprenör"",""influerare"",""bloggare""]","[""Q131524"",""Q2906862"",""Q8246794""]"
Q117834821,Nora Khalil,"[""Nora Khalil""]",1,[2182006],[25],,,https://sv.wikipedia.org/wiki/Nora_Khalil,kvinna,Q6581072,1997,,"[""Sverige""]","[""Q34""]","[""författare"",""lärare""]","[""Q482980"",""Q31892085""]"
Q117976252,Ellen Krauss,"[""Ellen Krauss""]",1,[2413999],[23],,,https://sv.wikipedia.org/wiki/Ellen_Krauss,kvinna,Q6581072,2000-06-26,,"[""Sverige""]","[""Q34""]","[""sångare"",""singer-songwriter""]","[""Q177220"",""Q488205""]"
Q11892509,Sarita Skagnes,"[""Sarita Skagnes""]",1,[214946],[44],,,https://sv.wikipedia.org/wiki/Sarita_Skagnes,kvinna,Q6581072,1969-01-02,,"[""Norge""]","[""Q20""]","[""författare""]","[""Q36180""]"
Q119226945,Jessie Sommarström,"[""Jessie Sommarström""]",1,[2180384],[44],,,https://sv.wikipedia.org/wiki/Jessie_Sommarstr%C3%B6m,kvinna,Q6581072,1979-05-01,,"[""Sverige""]","[""Q34""]","[""kock""]","[""Q3499072""]"
Q11959168,Aron Anderson,"[""Aron Anderson""]",1,[927236],[29],,,https://sv.wikipedia.org/wiki/Aron_Anderson,man,Q6581097,1988-01-26,,"[""Sverige""]","[""Q34""]","[""idrottare""]","[""Q2066131""]"
Q11987799,Magne Raundalen,"[""Magne Raundalen""]",1,[911965],[58],,,,man,Q6581097,1941-12-01,,"[""Norge""]","[""Q20""]","[""psykolog""]","[""Q212980""]"
Q120598724,Eva Armini,"[""Eva Armini""]",1,[2181521],[76],,,,kvinna,Q6581072,1946-09-06,,"[""Sverige""]","[""Q34""]","[""skolledare""]","[""Q120598783""]"
Q122216811,Johan Floderus,"[""Johan Floderus""]",1,[2578784],[34],,,https://sv.wikipedia.org/wiki/Johan_Floderus_(tj%C3%A4nsteman),man,Q6581097,1990-09-10,,"[""Sverige""]","[""Q34""]","[""diplomat""]","[""Q193391""]"
Q122940434,Aya Kanbar,"[""Aya Kanbar""]",1,[2578998],[20],,,https://sv.wikipedia.org/wiki/Aya_Kanbar,kvinna,Q6581072,2004-09-16,,"[""Sverige""]","[""Q34""]","[""poet""]","[""Q49757""]"
Q122965279,Emil Hansius,"[""Emil Hansius""]",1,[2815511],[31],,,https://sv.wikipedia.org/wiki/Emil_Hansius,man,Q6581097,1995-02-23,,"[""Sverige""]","[""Q34""]","[""influerare"",""youtuber""]","[""Q2906862"",""Q17125263""]"
Q12303351,Bettina Aller,"[""Bettina Aller""]",1,[911975],[38],,,https://sv.wikipedia.org/wiki/Bettina_Aller,kvinna,Q6581072,1962-06-23,,"[""Konungariket Danmark""]","[""Q756617""]","[""upptäcktsresande"",""affärsidkare""]","[""Q11900058"",""Q43845""]"
Q1236566,Robert Wells,"[""Robert Wells""]",1,[381781],[41],,,https://sv.wikipedia.org/wiki/Robert_Wells,man,Q6581097,1962-04-07,,"[""Sverige""]","[""Q34""]","[""kompositör"",""sångare"",""pianist"",""musiker""]","[""Q36834"",""Q177220"",""Q486748"",""Q639669""]"
Q12470048,Cathrine Winnes,"[""Cathrine Winnes""]",1,[1518773],[42],,,https://sv.wikipedia.org/wiki/Cathrine_Winnes,kvinna,Q6581072,1977-08-22,,"[""Norge""]","[""Q20""]","[""dirigent""]","[""Q158852""]"
Q125157405,Bettan Byvald,"[""Bettan Byvald""]",1,[2815516],[71],,,https://sv.wikipedia.org/wiki/Bettan_Byvald,kvinna,Q6581072,1954-09-01,,"[""Sverige""]","[""Q34""]","[""socionom""]","[""Q7019111""]"
Q1254792,Dragomir Mrsic,"[""Dragomir Mrsic""]",1,[2578793],[55],,,https://sv.wikipedia.org/wiki/Dragomir_Mrsic,man,Q6581097,1969-10-02,,"[""Sverige""]","[""Q34""]","[""taekwondoutövare"",""skådespelare""]","[""Q13382533"",""Q33999""]"
Q126540293,Ayan Ahmed,"[""Ayan Ahmed""]",1,[2397403],[23],,,https://sv.wikipedia.org/wiki/Ayan_Ahmed,kvinna,Q6581072,2000,,"[""Sverige""]","[""Q34""]","[""skådespelare""]","[""Q33999""]"
Q126718279,Trolle Rhodin,"[""Trolle Rhodin""]",1,[2397037],[35],,,https://sv.wikipedia.org/wiki/Trolle_Rhodin_(f%C3%B6dd_1988),man,Q6581097,1988-12-09,,"[""Sverige""]","[""Q34""]","[""cirkusdirektör""]","[""Q2384944""]"
Q127340,Linda ”Miss Li” Karlsson,"[""Linda ”Miss Li” Karlsson""]",1,[1518786],[37],,,https://sv.wikipedia.org/wiki/Miss_Li,kvinna,Q6581072,1982-07-21,,"[""Sverige""]","[""Q34""]","[""sångare"",""musikproducent"",""musiker"",""låtskrivare"",""singer-songwriter"",""skivartist""]","[""Q177220"",""Q183945"",""Q639669"",""Q753110"",""Q488205"",""Q55960555""]"
Q1273558,Eskil Pedersen,"[""Eskil Pedersen""]",1,[116694],[28],,,https://sv.wikipedia.org/wiki/Eskil_Pedersen,man,Q6581097,1984-03-06,,"[""Norge""]","[""Q20""]","[""politiker""]","[""Q82955""]"
Q127423,Victoria Silvstedt,"[""Victoria Silvstedt""]",1,[1106302],[43],,,https://sv.wikipedia.org/wiki/Victoria_Silvstedt,kvinna,Q6581072,1974-09-19,,"[""Sverige""]","[""Q34""]","[""sångare"",""musiker"",""modell"",""societetsperson"",""skönhetstävlingsdeltagare"",""playmate"",""skådespelare""]","[""Q177220"",""Q639669"",""Q4610556"",""Q512314"",""Q18581305"",""Q728711"",""Q33999""]"
Q127606559,Carl-Gustaf Wachtmeister,"[""Carl-Gustaf Wachtmeister""]",1,[126287],[null],,,,man,Q6581097,1683-08-29,1697-10-10,"[""Sverige""]","[""Q34""]",[],[]
Q127867931,Kim Söderström,"[""Kim Söderström""]",1,[2397610],[49],,,https://sv.wikipedia.org/wiki/Kim_S%C3%B6derstr%C3%B6m,man,Q6581097,1975-05-16,,"[""Sverige""]","[""Q34""]","[""fackföreningsperson""]","[""Q15627169""]"
